formula_id,variant_id,stock_code,sell_rule,holding_days,signal_count,win_rate,avg_ret,avg_dd,calmar,delay_buy_rate,delay_sell_rate,score,params
activity_breakout,strict_capped,301479,fixed_30,30,12,0.500000,0.036100,-0.148725,0.242730,0.000000,0.000000,54.263649,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 4.0, ""x15_multiplier"": 1.5}"
gs_raw_buy,wide_band_cooldown,301479,fixed_20,20,9,0.777778,0.081411,-0.086489,0.941290,0.000000,0.000000,71.572351,"{""down_adjust"": 0.97, ""iterations"": 8, ""signal_cooldown_days"": 12, ""up_adjust"": 1.03}"
volume_base_breakout,case_301511_broad,301479,fixed_10,10,1,1.000000,0.069200,-0.042400,1.632075,0.000000,0.000000,68.739236,"{""amount_spike_ratio"": 2.2, ""base_ceiling"": 1.45, ""base_floor"": 0.78, ""base_max_days"": 75, ""base_min_days"": 25, ""base_range_max"": 0.4, ""breakout_max_extension"": 1.1, ""breakout_near_high"": 0.92, ""dry_ratio"": 0.5, ""spike_lookback"": 90, ""spike_ratio"": 2.2, ""warm_ret_max"": 0.28, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.8}"
activity_breakout,strict_capped,301486,fixed_60,60,38,0.657895,0.169321,-0.175997,0.962066,0.000000,0.000000,69.547171,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 4.0, ""x15_multiplier"": 1.5}"
gs_pullback_confirm,default,301486,fixed_60,60,10,1.000000,0.255330,-0.157070,1.625581,0.000000,0.000000,82.427586,{}
gs_raw_buy,fast_x3_cooldown,301486,fixed_60,60,31,0.645161,0.158077,-0.194694,0.811929,0.032258,0.000000,68.091905,"{""ema_fallback_span"": 3, ""iterations"": 8, ""signal_cooldown_days"": 8, ""x3_ma_windows"": [3, 5, 10, 20]}"
volume_base_breakout,case_301511_broad,301486,fixed_60,60,9,1.000000,0.196256,-0.114833,1.709047,0.000000,0.000000,82.077803,"{""amount_spike_ratio"": 2.2, ""base_ceiling"": 1.45, ""base_floor"": 0.78, ""base_max_days"": 75, ""base_min_days"": 25, ""base_range_max"": 0.4, ""breakout_max_extension"": 1.1, ""breakout_near_high"": 0.92, ""dry_ratio"": 0.5, ""spike_lookback"": 90, ""spike_ratio"": 2.2, ""warm_ret_max"": 0.28, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.8}"
activity_breakout,strict_capped,301487,formula_exit_or_15,15,35,0.428571,0.021829,-0.041669,0.523862,0.000000,0.000000,46.390737,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 4.0, ""x15_multiplier"": 1.5}"
gs_pullback_confirm,default,301487,fixed_20,20,6,0.666667,-0.002250,-0.094017,-0.023932,0.000000,0.000000,34.417177,{}
gs_raw_buy,wide_band_cooldown,301487,formula_exit_or_15,15,25,0.360000,0.018560,-0.057312,0.323841,0.040000,0.000000,41.299207,"{""down_adjust"": 0.97, ""iterations"": 8, ""signal_cooldown_days"": 12, ""up_adjust"": 1.03}"
